Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 1,  TPR: 59.08%, FPR: 6.14%, ACC: 88.12%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 2,  TPR: 48.20%, FPR: 2.35%, ACC: 89.49%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 40.30%, FPR: 1.18%, ACC: 89.17%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 28.37%, FPR: 0.36%, ACC: 87.88%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 1,  TPR: 57.73%, FPR: 5.64%, ACC: 88.32%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 2,  TPR: 47.02%, FPR: 2.28%, ACC: 89.36%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 39.09%, FPR: 1.15%, ACC: 88.99%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 27.04%, FPR: 0.34%, ACC: 87.68%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 1,  TPR: 57.51%, FPR: 5.59%, ACC: 88.32%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 2,  TPR: 46.84%, FPR: 2.27%, ACC: 89.33%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 38.91%, FPR: 1.15%, ACC: 88.96%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 26.77%, FPR: 0.34%, ACC: 87.63%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 1,  TPR: 57.17%, FPR: 5.46%, ACC: 88.37%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 2,  TPR: 46.41%, FPR: 2.21%, ACC: 89.32%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 38.52%, FPR: 1.11%, ACC: 88.93%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 26.33%, FPR: 0.32%, ACC: 87.58%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 1,  TPR: 54.58%, FPR: 4.47%, ACC: 88.77%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 2,  TPR: 43.96%, FPR: 1.84%, ACC: 89.22%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 36.03%, FPR: 0.91%, ACC: 88.69%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 23.98%, FPR: 0.25%, ACC: 87.25%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 1,  TPR: 45.36%, FPR: 2.92%, ACC: 88.54%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 2,  TPR: 34.64%, FPR: 1.18%, ACC: 88.23%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 26.41%, FPR: 0.51%, ACC: 87.43%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 14.57%, FPR: 0.10%, ACC: 85.82%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 1,  TPR: 42.82%, FPR: 2.67%, ACC: 88.33%
